Mass,Mstar,Tgas,Mgas,Lx,Ngal
508552300000000.0,12067451000000.0,2.9607723,60498146000000.0,1.6087049,335
376033780000000.0,8166366500000.0,2.8460543,46858330000000.0,1.5496094,286
379515900000000.0,8466589500000.0,2.419194,43542770000000.0,0.7830326,285
263272070000000.0,4782058600000.0,1.8257517,31777110000000.0,0.6247522,247
270513110000000.0,7204242000000.0,2.0902946,30412353000000.0,0.85910285,206
255908450000000.0,5819863700000.0,2.0006626,30620720000000.0,0.5977729,153
215720940000000.0,5087846000000.0,1.7095037,26251775000000.0,0.44900918,161
236256860000000.0,4466828400000.0,1.5489082,27100233000000.0,0.41947895,178
232358470000000.0,4378553700000.0,1.8537213,27804690000000.0,0.55576056,132
131977620000000.0,2893867400000.0,1.2090969,13491890000000.0,0.14966577,168
167206370000000.0,3473395000000.0,1.377002,19281996000000.0,0.28107992,140
167017300000000.0,3627172000000.0,1.3564905,17666250000000.0,0.2605023,150
182461180000000.0,4959355000000.0,1.6379446,21601448000000.0,0.4531478,121
176186350000000.0,3411729400000.0,1.2597513,21418933000000.0,0.36737427,145
166109140000000.0,3463757700000.0,1.3674662,18830848000000.0,0.24324192,121
137735410000000.0,3057920800000.0,1.3538799,15618545000000.0,0.25769302,106
163230500000000.0,3683159400000.0,1.5278115,16963515000000.0,0.24626394,106
158375500000000.0,3636241400000.0,1.4276166,16189767000000.0,0.21795265,79
117353874000000.0,2459272700000.0,1.3008269,13266501000000.0,0.31311327,100
146704660000000.0,3410258800000.0,1.3796029,15814112000000.0,0.31046396,97
143664930000000.0,3296602400000.0,1.4118608,15833340000000.0,0.26680684,81
132716790000000.0,3664456500000.0,1.2796489,15046667000000.0,0.77780426,107
136430945000000.0,3362698000000.0,1.3982122,15561613000000.0,2.7183242,91
141042250000000.0,2674132000000.0,1.1032349,15431803000000.0,0.18515202,106
135113094000000.0,2916262000000.0,1.5069776,13803440000000.0,0.2651401,85
131211410000000.0,2453379700000.0,1.1358615,15880480000000.0,0.28553113,119
138930720000000.0,2845361300000.0,1.2297717,15496827000000.0,0.22130556,94
141231830000000.0,2665968000000.0,1.2033626,15459205000000.0,0.23226157,107
140584800000000.0,2786101600000.0,1.39295,13944944000000.0,0.23270966,107
128062410000000.0,2491807200000.0,1.097054,14372871000000.0,0.19972046,113
141447720000000.0,2701330500000.0,1.5088238,15250251000000.0,0.362436,79
125019440000000.0,3306523200000.0,1.3279049,14473283000000.0,1.5542794,62
132965980000000.0,3015877600000.0,1.3382853,13247012000000.0,0.15184556,84
126953185000000.0,2680870700000.0,1.1362951,13119078000000.0,0.15962356,98
123305370000000.0,2763576800000.0,1.2203681,12919900000000.0,0.20289208,92
116132320000000.0,2246324300000.0,1.0323609,12534661000000.0,0.15905228,86
124477620000000.0,2632162000000.0,1.2943379,13398624000000.0,0.2872967,104
113917180000000.0,2654785200000.0,1.2973354,11726167000000.0,0.15755479,77
117044090000000.0,2446977700000.0,1.192192,10977620000000.0,0.11187186,97
112573265000000.0,2534970000000.0,1.0714728,11877690000000.0,0.16630308,53
120791960000000.0,2371362500000.0,1.2117554,12920847000000.0,0.23540986,93
106103610000000.0,2303550600000.0,1.107331,11695225000000.0,0.154878,57
106320280000000.0,2573088000000.0,1.1888524,10237209000000.0,0.109536484,67
102217780000000.0,2211274600000.0,1.0265713,9894410000000.0,0.114178054,71
