INTERCLASSE;CODE_UN;CODICIONE;NOME_CORSO;COD_CLASSE;DES_CLASSE;ID_COMUNE;COMUNE;ID_REGIONE_MACRO_ISTAT;REGIONE_MACRO_ISTAT;ID_CLASSE;DURATA;ANNO;CODICE;DESCRIZIONE;NUMERATORE;DENOMINATORE;INDICATORE;NUM_ATENEO;DEN_ATENEO;IND_ATENEO;NUM_ITA_NOTELE;DEN_ITA_NOTELE;IND_ITA_NOTELE;NUM_AREA_NOTELE;DEN_AREA_NOTELE;IND_AREA_NOTELE;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2017;iC17;Percentuale di immatricolati (L, LM, LMCU) che si laureano entro un anno oltre la durata normale del corso nello stesso corso di studio**;52;58;,8965517241379310344827586206896551724138;0;0;0;24,78787878787878787878787878787878787879;32,03030303030303030303030303030303030303;,7738883632923368022705771050141911069064;28,125;33,625;,83643122676579925650557620817843866171;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2017;iC22;Percentuale di immatricolati (L, LM, LMCU) che si laureano, nel CdS, entro la durata normale del corso**;26;52;,5;0;0;0;16,39393939393939393939393939393939393939;33,63636363636363636363636363636363636364;,4873873873873873873873873873873873873872;21;37,125;,5656565656565656565656565656565656565657;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2017;iC24;Percentuale di abbandoni del CdS dopo N+1 anni**;0;58;0;0;0;0;,8484848484848484848484848484848484848485;32,03030303030303030303030303030303030303;,0264900662251655629139072847682119205298;1,25;33,625;,0371747211895910780669144981412639405204;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2018;iC00a;Avvii di carriera al primo anno* (L, LMCU, LM);70;0;70;0;0;0;42,68571428571428571428571428571428571429;0;42,68571428571428571428571428571428571429;49,22222222222222222222222222222222222222;0;49,22222222222222222222222222222222222222;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2018;iC00c;Se LM, Iscritti per la prima volta a LM;68;0;68;0;0;0;38,71428571428571428571428571428571428571;0;38,71428571428571428571428571428571428571;46,11111111111111111111111111111111111111;0;46,11111111111111111111111111111111111111;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2018;iC00d;Iscritti (L, LMCU, LM);150;0;150;0;0;0;104,057142857142857142857142857142857143;0;104,057142857142857142857142857142857143;108;0;108;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2018;iC00e;Iscritti Regolari ai fini del CSTD (L, LMCU, LM);113;0;113;0;0;0;76,31428571428571428571428571428571428571;0;76,31428571428571428571428571428571428571;84,55555555555555555555555555555555555556;0;84,55555555555555555555555555555555555556;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2018;iC00f;Iscritti Regolari ai fini del CSTD, immatricolati puri ** al CdS in oggetto (L, LMCU, LM);110;0;110;0;0;0;71,28571428571428571428571428571428571429;0;71,28571428571428571428571428571428571429;80,11111111111111111111111111111111111111;0;80,11111111111111111111111111111111111111;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2018;iC00g;laureati (L, LM, LMCU) entro la durata normale del corso*;23;0;23;0;0;0;16,51515151515151515151515151515151515152;0;16,51515151515151515151515151515151515152;19,875;0;19,875;
0;33;0320107301800010;Fisica;LM-17;Fisica;032006;TRIESTE;2;NORD-EST;3018;2;2018;iC00h;laureati (L, LM, LMCU);47;0;47;0;0;0;30,57575757575757575757575757575757575758;0;30,57575757575757575757575757575757575758;32;0;32;
